Energy	I0	Sample	Reference
6440.06	803282	1.73347E6	1.71981E6
6441.45	802477	1.73264E6	1.71884E6
6443.73	801308	1.73299E6	1.72085E6
6445.89	800327	1.73321E6	1.72322E6
6447.89	799408	1.73347E6	1.72541E6
6449.93	798449	1.734E6	1.72887E6
6451.94	797779	1.73504E6	1.73217E6
6454.02	797549	1.73762E6	1.73713E6
6455.95	796622	1.73837E6	1.74024E6
6457.91	795768	1.73932E6	1.74249E6
6459.96	794855	1.74024E6	1.74593E6
6461.97	793966	1.74081E6	1.74899E6
6463.94	793057	1.74157E6	1.75217E6
6465.96	792106	1.74217E6	1.75502E6
6467.93	790947	1.74217E6	1.75764E6
6470.07	789817	1.74266E6	1.76025E6
6471.92	788847	1.7432E6	1.76219E6
6474.06	787919	1.74392E6	1.76626E6
6475.96	786968	1.74442E6	1.7688E6
6478.02	786009	1.7455E6	1.77148E6
6480	785150	1.746E6	1.77528E6
6482.02	784072	1.74655E6	1.77672E6
6484.05	782950	1.74677E6	1.77937E6
6485.99	782143	1.74756E6	1.78217E6
6488.02	781209	1.74804E6	1.78488E6
6490.05	780473	1.74847E6	1.78674E6
6491.88	779623	1.74917E6	1.78972E6
6494.07	778647	1.74994E6	1.79215E6
6495.9	777808	1.75004E6	1.79323E6
6498.14	777236	1.75194E6	1.79755E6
6499.89	776509	1.7521E6	1.79879E6
6502.08	775537	1.75248E6	1.80062E6
6504	774496	1.75325E6	1.80306E6
6506.08	773548	1.75355E6	1.80454E6
6507.96	772781	1.75386E6	1.80512E6
6510.04	771661	1.75391E6	1.80641E6
6511.96	770739	1.75438E6	1.80746E6
6514	769993	1.75498E6	1.80734E6
6516.01	769094	1.7553E6	1.8077E6
6517.97	768088	1.75474E6	1.80647E6
6519.98	766886	1.7547E6	1.80437E6
6522.07	765919	1.75465E6	1.80199E6
6524	764988	1.75418E6	1.79841E6
6526.09	763989	1.75383E6	1.79324E6
6527.94	763552	1.75405E6	1.78715E6
6530.04	762959	1.75397E6	1.77684E6
6530.41	762714	1.75353E6	1.77329E6
6530.53	762523	1.75306E6	1.77176E6
6530.94	762380	1.75279E6	1.76926E6
6531.27	762225	1.7528E6	1.76656E6
6531.43	762064	1.75266E6	1.76516E6
6531.8	761843	1.75231E6	1.76138E6
6532.17	761569	1.75176E6	1.75779E6
6532.3	761557	1.75176E6	1.75548E6
6532.75	761384	1.75108E6	1.75124E6
6532.96	761280	1.75078E6	1.74894E6
6533.29	761120	1.75029E6	1.74435E6
6533.61	760815	1.74951E6	1.73861E6
6533.86	760542	1.74884E6	1.73472E6
6534.19	760489	1.74851E6	1.7292E6
6534.48	760130	1.74788E6	1.72391E6
6534.85	759784	1.74688E6	1.71632E6
6535.06	759587	1.74622E6	1.71198E6
6535.38	759487	1.74584E6	1.70489E6
6535.71	759194	1.74499E6	1.69527E6
6535.92	758877	1.74389E6	1.68702E6
6536.29	758605	1.74281E6	1.67415E6
6536.66	758295	1.74209E6	1.66026E6
6536.83	758288	1.74195E6	1.65489E6
6537.24	758228	1.74125E6	1.63532E6
6537.57	758026	1.74041E6	1.61756E6
6537.73	757963	1.73984E6	1.60498E6
6538.15	757616	1.73805E6	1.57032E6
6538.31	757428	1.73719E6	1.55056E6
6538.76	757189	1.73507E6	1.49928E6
6538.97	756857	1.73319E6	1.46332E6
6539.34	756576	1.73036E6	1.38399E6
6539.59	756422	1.72756E6	1.30168E6
6539.92	756198	1.7232E6	1.16902E6
6540.17	755990	1.7178E6	1.04696E6
6540.54	755841	1.70808E6	878498
6540.83	755613	1.69786E6	753804
6541.16	755429	1.68255E6	624852
6541.4	755215	1.67279E6	563927
6541.69	755586	1.66139E6	499681
6542.02	755431	1.65056E6	445232
6542.27	755268	1.64607E6	414011
6542.6	755014	1.64255E6	382746
6542.89	754859	1.6411E6	362704
6543.26	754409	1.63714E6	340502
6543.43	754293	1.63462E6	332794
6543.84	754065	1.62647E6	316996
6544.13	754068	1.62059E6	309770
6544.46	753975	1.61359E6	305317
6544.58	753847	1.61053E6	303630
6545.04	753428	1.60291E6	297951
6545.37	753276	1.59776E6	290687
6545.53	753095	1.59411E6	285436
6545.9	752837	1.58667E6	271870
6546.28	752630	1.57912E6	258426
6546.44	752742	1.57603E6	252958
6546.77	752584	1.56786E6	243279
6547.14	752379	1.55664E6	233940
6547.35	752356	1.54899E6	229110
6547.68	752187	1.53213E6	220786
6548.01	751932	1.5085E6	211511
6548.26	751766	1.48598E6	203397
6548.59	751683	1.44943E6	190677
6548.84	751189	1.41805E6	180576
6549.21	751049	1.3734E6	166214
6549.5	750894	1.33709E6	155312
6549.87	750738	1.28705E6	140697
6550	750620	1.26698E6	134680
6550.41	750477	1.21131E6	118941
6550.7	750256	1.17352E6	108385
6551.07	750305	1.13429E6	98070
6551.24	750582	1.11895E6	93941
6551.57	750386	1.0829E6	85562
6551.94	750223	1.0422E6	77076
6552.07	750054	1.02499E6	73739
6552.4	749767	983512	65773
6552.89	749524	939265	57801
6553.14	749320	918975	54434
6553.31	748485	901873	51678
6553.81	748194	866058	46315
6553.97	748096	850153	44041
6554.3	747957	823034	40697
6554.63	747769	791606	37146
6554.88	747633	768861	34903
6555.26	747511	736727	31926
6555.42	747248	722890	30716
6555.79	746811	688683	27873
6556.13	746526	661320	25823
6556.46	746286	635300	23983
6556.62	746114	626495	23309
6557	745828	602411	21759
6557.37	745637	588187	20905
6557.54	745479	581801	20526
6557.95	745148	568772	19927
6558.16	745752	564563	19685
6558.53	746120	558278	19619
6558.86	745833	554323	19655
6559.03	745816	552870	19684
6559.44	745453	550517	20040
6559.69	745249	549748	20250
6560.07	744973	548863	20735
6560.19	744865	548541	20937
6560.61	744419	547768	21526
6560.94	744313	548130	22003
6561.27	744138	549732	22572
6561.4	744090	551003	22771
6561.85	743840	556182	23431
6562.06	743592	559700	23756
6562.39	743404	566854	24327
6562.72	743231	575145	24890
6563.02	743096	581929	25309
6563.35	742806	589853	25754
6563.51	742603	593023	25838
6563.93	742389	600331	26231
6564.26	742176	604900	26443
6564.43	742045	606479	26448
6564.8	741723	609747	26456
6565.18	741463	611739	26427
6565.38	741446	612674	26362
6565.76	741316	614157	26361
6565.92	741308	614913	26340
6566.34	741035	616824	26188
6566.55	740781	617619	26234
6566.92	740593	619831	26147
6567.17	740273	621339	26096
6567.55	740317	624174	26160
6567.67	740125	625414	26106
6568.13	740016	629330	26246
6568.46	739901	632818	26362
6568.63	739736	634507	26294
6569	739437	638922	26443
6569.38	739186	642761	26643
6569.54	739116	644168	26630
6569.88	738194	646266	26654
6570.25	737978	649032	26811
6570.38	737853	649892	26822
6570.79	737674	651927	26923
6571.09	737549	653295	26990
6571.46	737364	654130	27038
6571.59	737145	654403	27052
6572.04	736993	654909	27138
6572.25	737477	655652	27122
6572.63	737348	655792	27106
6572.96	737137	655469	27161
6573.09	737004	655474	27187
6573.5	736717	654839	27149
6573.84	736525	654369	27163
6574.21	736207	653412	27141
6574.38	736111	653073	27118
6574.67	735397	651804	27100
6575.04	735351	651226	27052
6575.17	735221	651244	27053
6575.59	734972	651313	27041
6575.92	734918	651792	27103
6576.3	734757	652978	27087
6576.42	734701	653719	27158
6576.84	734270	655769	27146
6577.13	733475	657521	27126
6577.51	733313	660562	27219
6577.63	733099	662022	27269
6578.05	732738	666434	27369
6578.26	732542	668602	27309
6578.63	732325	673036	27410
6578.97	732118	678015	27520
6579.13	732793	681444	27676
6579.47	733020	686704	27738
6579.8	732811	691932	27854
6580.1	732653	696058	27913
6580.47	732422	701566	28034
6580.6	732108	703459	28080
6581.06	731762	709562	28094
6581.22	731668	712814	28234
6581.64	731312	718642	28248
6581.81	731053	721580	28271
6582.23	730811	727219	28367
6582.6	730780	731509	28296
6582.77	730725	733918	28420
6583.15	730498	739179	28383
6583.27	730350	741062	28423
6583.69	730058	746335	28450
6584.02	730047	750729	28418
6584.36	729885	755092	28460
6584.57	729854	756751	28407
6584.9	729547	760465	28425
6585.24	729375	764308	28355
6585.53	729388	767277	28368
6585.87	729125	770365	28302
6586.03	728978	771669	28309
6586.45	727965	773641	28163
6586.66	727871	775050	28209
6587	727642	776788	28124
6587.33	727428	778493	28098
6587.62	727222	779614	28133
6587.96	727049	780950	28143
6588.08	726723	781035	28062
6588.55	726482	781898	28161
6588.75	726819	783054	28221
6589.09	726499	783355	28291
6589.42	726197	783615	28375
6589.68	726083	783833	28440
6590.05	725882	783858	28656
6592.02	723403	781307	29515
6594.08	703816	757358	29823
6595.88	723941	768235	31059
6598.07	724140	749701	31265
6599.96	722896	729961	31471
6601.94	722032	714920	31759
6604.08	720997	700716	31629
6605.93	720150	692160	31186
6608.08	719102	687949	30547
6609.94	718214	688289	30076
6612.13	717102	690822	29547
6613.95	716174	693982	29051
6616.06	715357	699226	28666
6617.83	714536	704171	28476
6619.99	713487	709939	28354
6621.94	712614	713856	28441
6624.05	711778	715891	28732
6625.83	711006	715331	28894
