Energy	I0	Sample	Reference
6440.06	1.76701E6	1.53581E6	1.52467E6
6441.45	1.76544E6	1.53598E6	1.52396E6
6443.73	1.76315E6	1.53632E6	1.52596E6
6445.93	1.7609E6	1.53701E6	1.52821E6
6447.89	1.75895E6	1.53748E6	1.53175E6
6449.97	1.75709E6	1.53843E6	1.53464E6
6451.9	1.75494E6	1.53874E6	1.53687E6
6453.86	1.75307E6	1.53966E6	1.53961E6
6455.99	1.74996E6	1.53938E6	1.54109E6
6457.91	1.74765E6	1.53958E6	1.54338E6
6459.96	1.74571E6	1.54018E6	1.54628E6
6461.93	1.74359E6	1.54078E6	1.54827E6
6464.07	1.7414E6	1.54162E6	1.55149E6
6465.92	1.7397E6	1.54217E6	1.554E6
6468.09	1.73841E6	1.54352E6	1.5576E6
6469.91	1.73702E6	1.54422E6	1.55995E6
6472.12	1.73489E6	1.5449E6	1.5632E6
6473.94	1.73278E6	1.54561E6	1.56514E6
6475.96	1.73087E6	1.54617E6	1.56803E6
6478.02	1.72886E6	1.54664E6	1.57089E6
6480.04	1.72687E6	1.54709E6	1.57247E6
6481.94	1.72505E6	1.54779E6	1.57537E6
6483.97	1.72306E6	1.54818E6	1.57756E6
6485.95	1.72108E6	1.54885E6	1.5799E6
6488.02	1.71885E6	1.54945E6	1.58298E6
6490.01	1.71657E6	1.54959E6	1.58497E6
6492.08	1.71492E6	1.55031E6	1.58698E6
6493.95	1.71305E6	1.55058E6	1.58834E6
6495.98	1.71034E6	1.55034E6	1.5903E6
6497.97	1.70803E6	1.55033E6	1.59193E6
6500.05	1.70597E6	1.55104E6	1.59365E6
6502	1.70411E6	1.55169E6	1.5955E6
6504	1.70208E6	1.55178E6	1.59653E6
6506.04	1.69995E6	1.5521E6	1.59799E6
6508	1.69799E6	1.55231E6	1.59894E6
6510	1.69622E6	1.55255E6	1.59951E6
6512.08	1.6945E6	1.55331E6	1.60055E6
6514	1.69278E6	1.55304E6	1.60034E6
6516.05	1.69079E6	1.55321E6	1.60008E6
6517.93	1.68861E6	1.55282E6	1.60004E6
6520.02	1.6864E6	1.55246E6	1.5972E6
6521.99	1.68456E6	1.55252E6	1.59601E6
6524.04	1.68251E6	1.55234E6	1.59227E6
6525.93	1.68215E6	1.55298E6	1.58889E6
6527.98	1.68034E6	1.55186E6	1.58074E6
6530.04	1.67825E6	1.55003E6	1.57024E6
6530.36	1.67759E6	1.54962E6	1.56729E6
6530.53	1.67696E6	1.54902E6	1.56654E6
6530.94	1.67653E6	1.54873E6	1.56311E6
6531.27	1.6763E6	1.54852E6	1.5606E6
6531.43	1.67583E6	1.54813E6	1.55931E6
6531.76	1.67333E6	1.54576E6	1.55392E6
6532.17	1.67337E6	1.54566E6	1.55013E6
6532.34	1.67275E6	1.54483E6	1.54847E6
6532.71	1.67268E6	1.54423E6	1.54418E6
6533.08	1.67242E6	1.54393E6	1.54011E6
6533.33	1.67221E6	1.54359E6	1.53787E6
6533.66	1.67169E6	1.54293E6	1.53327E6
6533.82	1.67127E6	1.54231E6	1.53017E6
6534.19	1.67107E6	1.54152E6	1.5238E6
6534.56	1.67055E6	1.54061E6	1.51864E6
6534.73	1.6704E6	1.54008E6	1.51487E6
6535.1	1.66983E6	1.5395E6	1.50725E6
6535.51	1.6695E6	1.53862E6	1.4991E6
6535.63	1.6692E6	1.53827E6	1.49536E6
6536	1.66882E6	1.53705E6	1.48449E6
6536.29	1.66829E6	1.53589E6	1.47453E6
6536.7	1.66734E6	1.53474E6	1.46209E6
6536.83	1.66742E6	1.53438E6	1.45703E6
6537.24	1.66689E6	1.53279E6	1.43856E6
6537.57	1.66647E6	1.5315E6	1.42181E6
6537.73	1.66637E6	1.53075E6	1.41188E6
6538.15	1.66586E6	1.52856E6	1.38001E6
6538.31	1.66492E6	1.52702E6	1.36219E6
6538.76	1.66397E6	1.52425E6	1.31375E6
