Energy	I0	Sample	Reference
6440.06	754158	1.48518E6	1.47583E6
6441.45	753696	1.48631E6	1.47685E6
6443.73	752721	1.48761E6	1.47963E6
6445.93	751907	1.48862E6	1.48294E6
6447.89	751246	1.4893E6	1.48547E6
6449.93	750344	1.49013E6	1.48832E6
6451.94	749492	1.49098E6	1.49074E6
6454.02	748599	1.49214E6	1.49364E6
6455.91	747856	1.49295E6	1.4965E6
6457.99	746924	1.49367E6	1.49938E6
6459.96	745919	1.49437E6	1.5018E6
6461.93	745095	1.49502E6	1.50454E6
6464.07	744112	1.4955E6	1.50714E6
6465.92	743307	1.49594E6	1.5093E6
6468.05	742305	1.49678E6	1.51246E6
6469.91	741500	1.4976E6	1.51464E6
6472.04	740543	1.49818E6	1.51769E6
6473.94	740103	1.49967E6	1.52037E6
6475.96	739328	1.50035E6	1.52386E6
6478.02	738486	1.50093E6	1.52548E6
6480.04	737572	1.50154E6	1.52864E6
6481.94	736646	1.50226E6	1.53088E6
6483.97	735907	1.50302E6	1.53322E6
6485.95	735056	1.50368E6	1.53592E6
6488.02	734257	1.50455E6	1.53838E6
6489.97	733346	1.50527E6	1.54069E6
6492.04	732494	1.50605E6	1.54402E6
6493.91	731672	1.50648E6	1.54504E6
6496.1	730713	1.50683E6	1.54746E6
6497.97	729908	1.5075E6	1.54939E6
6500.05	729019	1.50801E6	1.5507E6
6501.96	728149	1.50805E6	1.55222E6
6504	727117	1.50824E6	1.55357E6
6506.04	726262	1.50867E6	1.55486E6
6508	725347	1.50909E6	1.5558E6
6509.96	724649	1.50989E6	1.55725E6
6512.08	723769	1.51034E6	1.55802E6
6514	722853	1.51027E6	1.55766E6
6516.05	721915	1.5106E6	1.55818E6
6517.93	721098	1.51064E6	1.55771E6
6520.02	719709	1.50979E6	1.55524E6
6521.99	718778	1.5099E6	1.55356E6
6524.04	718145	1.51054E6	1.55106E6
6525.89	717199	1.50989E6	1.54646E6
6528.1	716517	1.51025E6	1.53986E6
6529.91	715816	1.50969E6	1.53133E6
6530.28	715649	1.50974E6	1.5294E6
6530.61	715572	1.50967E6	1.52703E6
6530.98	715367	1.50937E6	1.52476E6
6531.11	715160	1.50888E6	1.5234E6
6531.52	714930	1.50836E6	1.52032E6
6531.85	714761	1.50835E6	1.51775E6
6532.01	714569	1.50804E6	1.51549E6
6532.42	714391	1.50755E6	1.51154E6
6532.83	714185	1.50708E6	1.50808E6
6533.04	714237	1.50707E6	1.506E6
6533.33	714017	1.50672E6	1.50276E6
6533.66	713703	1.50624E6	1.49918E6
6533.82	713550	1.5058E6	1.4964E6
6534.19	713312	1.50536E6	1.49009E6
6534.52	713087	1.50443E6	1.4849E6
6534.89	712891	1.5041E6	1.47889E6
6535.01	712673	1.50363E6	1.47615E6
6535.43	712248	1.50257E6	1.46677E6
6535.71	712091	1.502E6	1.45984E6
6536.04	711900	1.50166E6	1.45126E6
6536.17	711847	1.50192E6	1.44634E6
6536.58	711627	1.50062E6	1.43318E6
6536.91	711460	1.50011E6	1.42111E6
6537.28	711228	1.49907E6	1.40582E6
6537.44	711224	1.49889E6	1.39881E6
6537.73	711162	1.49794E6	1.37921E6
6538.15	710800	1.49657E6	1.34961E6
6538.35	710779	1.49627E6	1.33217E6
6538.76	710613	1.49517E6	1.2916E6
6538.89	710418	1.49422E6	1.26931E6
6539.3	710316	1.49258E6	1.19615E6
6539.63	710243	1.491E6	1.11325E6
6539.92	710006	1.48821E6	989871
6540.21	709815	1.4858E6	883845
6540.54	709759	1.48146E6	739910
6540.83	709772	1.47723E6	641434
6541.2	709626	1.46793E6	535407
6541.36	709413	1.46251E6	498915
6541.65	709302	1.44778E6	439567
6541.98	709150	1.42733E6	389679
6542.27	709173	1.41158E6	359298
6542.6	709077	1.39433E6	329556
6542.89	708858	1.38242E6	310043
6543.22	708646	1.36766E6	288676
6543.51	708523	1.35575E6	276079
6543.84	708395	1.33904E6	263828
6544.13	708182	1.32622E6	256709
6544.46	707930	1.31747E6	252333
6544.62	707751	1.31612E6	250960
6545.04	707492	1.31923E6	247753
6545.37	707289	1.3267E6	243618
6545.57	707184	1.33234E6	240479
6545.9	707016	1.34371E6	232754
6546.15	706665	1.35019E6	226837
6546.52	706341	1.35641E6	218422
6546.81	706318	1.35988E6	212792
6547.14	706239	1.36369E6	206824
6547.31	706120	1.36491E6	204512
6547.72	705891	1.36808E6	198535
6548.05	705698	1.36961E6	193693
6548.18	705591	1.36981E6	190667
6548.55	705475	1.3684E6	182155
6548.96	705398	1.36455E6	172487
6549.17	705447	1.3617E6	167350
6549.5	705220	1.35459E6	158302
6549.87	705070	1.34382E6	147506
6550.04	704859	1.33882E6	142769
6550.33	704629	1.32594E6	133537
6550.7	704430	1.3075E6	122400
6551.07	704202	1.28526E6	111809
6551.28	704405	1.27636E6	107936
6551.57	704430	1.25441E6	100169
6551.94	704158	1.22434E6	91408
6552.07	703971	1.20946E6	87704
6552.44	703814	1.16909E6	79213
6552.77	703626	1.12766E6	72145
6553.14	703336	1.07423E6	64929
6553.27	703437	1.05292E6	62263
6553.72	703027	973521	54068
6554.01	702826	910941	48543
6554.39	702624	841315	42781
6554.59	702484	803443	39721
6554.88	702401	754145	35898
6555.26	702249	709599	32250
6555.42	702157	695284	30975
6555.79	701806	667523	28352
6556.17	701487	650167	26676
6556.29	701227	641610	25826
6556.71	700960	620824	24140
6557.08	700783	598334	22759
6557.25	700655	588561	22163
6557.58	700427	565788	21198
6557.95	700200	537913	20168
6558.12	699786	524261	19704
6558.49	699410	487545	18625
6558.82	699368	455347	17734
6559.15	699229	421674	16888
6559.32	699111	405602	16525
6559.73	698798	361895	15453
6560.11	698653	327827	14602
6560.23	698515	312170	14256
6560.69	698179	272881	13289
6560.9	697850	257366	12871
6561.27	697868	238718	12371
6561.44	697768	233433	12285
6561.81	697521	226606	12170
6562.18	697364	223994	12179
6562.31	697224	223906	12246
6562.68	696875	225871	12425
6563.02	697090	229006	12593
6563.35	696874	232727	12815
6563.51	696820	234248	12920
6563.97	696617	237875	13047
6564.14	696470	239043	13089
6564.47	696288	240504	13198
6564.8	696091	241298	13132
6565.05	695932	241676	13111
6565.38	695239	242225	13121
6565.72	695134	243366	13062
6566.09	695046	245717	13159
6566.17	694906	247143	13187
6566.59	694723	252344	13328
6566.92	694586	258019	13522
6567.34	694444	265835	13750
6567.46	694152	268664	13845
6567.84	693908	274303	14047
6568.21	693634	279693	14214
6568.34	693565	281267	14235
6568.67	693275	283771	14327
6569	693011	285422	14387
6569.25	692822	285919	14413
6569.59	692693	286675	14427
6569.92	692804	287874	14449
6570.25	692688	290586	14538
6570.42	692541	292150	14538
6570.79	692275	297900	14818
6571.09	692109	304026	15073
6571.46	691889	311204	15338
6571.59	691811	314155	15419
6572.04	691766	322565	15767
6572.29	691890	326323	15957
6572.63	691686	331525	16156
6572.96	691462	335844	16383
6573.13	691348	337070	16339
6573.5	691122	339462	16450
6573.84	690942	340591	16536
6574.21	690757	340703	16563
6574.38	691312	340866	16568
6574.67	691309	340103	16491
6575.04	691195	338430	16472
6575.17	691130	337473	16465
6575.59	690982	334267	16295
6575.92	690816	331198	16202
6576.25	690740	327573	16025
6576.42	690657	326014	15977
6576.84	689604	321084	15807
6577.13	689179	317517	15581
6577.51	688942	314178	15412
6577.63	688743	312696	15371
6578.05	688527	309633	15218
6578.26	688363	308415	15152
6578.63	688189	306633	15053
6579.01	687944	305347	14974
6579.13	688107	305181	14921
6579.47	688023	304776	14843
6579.8	687765	305094	14839
6580.1	687591	305839	14828
6580.47	687479	307638	14864
6580.6	687328	308678	14887
6581.01	687133	312329	14889
6581.35	686843	315906	14986
6581.52	686325	317926	15051
6581.89	686330	323692	15184
6582.31	686106	329493	15325
6582.44	685960	331699	15368
6582.81	685823	336762	15502
6583.15	685597	342341	15604
6583.31	685470	344527	15666
6583.69	685164	351229	15866
6583.98	684959	356619	15919
6584.36	684745	362441	16040
6584.57	684562	365792	16145
6584.9	684603	368957	16150
6585.28	684334	376684	16335
6585.41	683905	380541	16431
6585.78	683810	388296	16667
6586.07	683776	394522	16794
6586.45	683466	401597	16965
6586.66	683354	404599	17060
6587	683046	410950	17148
6587.33	682802	417833	17393
6587.62	682560	422959	17508
6587.96	682408	429506	17725
6588.08	682299	432119	17826
6588.5	682442	439659	18052
6588.88	682150	445153	18289
6589.05	682034	447830	18439
6589.42	681686	454302	18671
6589.72	681435	459282	18896
6590.05	681071	464439	19115
6591.98	679037	487227	20548
6594.08	660489	482075	21136
6595.88	679568	490859	22039
6598.07	679750	481419	22241
6599.92	678671	477462	22779
6602.06	677492	478099	23445
6603.91	676606	479740	23786
