Energy	I0	Sample	Reference
6440.06	2.72548E6	978874	1.48691E6
6441.45	2.72269E6	978342	1.49107E6
6443.73	2.71864E6	981925	1.49751E6
6445.93	2.71565E6	986626	1.50626E6
6447.89	2.71193E6	989450	1.51549E6
6449.93	2.70859E6	994034	1.52339E6
6451.94	2.70507E6	998067	1.53161E6
6454.02	2.70145E6	1.00197E6	1.53891E6
6455.95	2.69835E6	1.00636E6	1.54744E6
6457.91	2.6946E6	1.01038E6	1.55767E6
6459.96	2.69116E6	1.01395E6	1.56344E6
6461.97	2.68763E6	1.01896E6	1.5726E6
6463.94	2.68401E6	1.02278E6	1.58317E6
6465.96	2.68006E6	1.02692E6	1.59131E6
6467.93	2.67654E6	1.0308E6	1.59885E6
6470.03	2.67291E6	1.03721E6	1.61063E6
6472.04	2.66932E6	1.04101E6	1.61904E6
6473.94	2.6659E6	1.04512E6	1.63077E6
6475.96	2.66268E6	1.05035E6	1.63949E6
6478.02	2.65914E6	1.05438E6	1.64907E6
6480	2.6556E6	1.05915E6	1.6576E6
6482.02	2.65294E6	1.06396E6	1.66571E6
6484.05	2.64932E6	1.06801E6	1.67457E6
6485.99	2.64627E6	1.07286E6	1.68544E6
6487.98	2.64304E6	1.07725E6	1.69385E6
6490.05	2.63954E6	1.08146E6	1.7019E6
6491.92	2.63557E6	1.08582E6	1.71007E6
6494.07	2.63186E6	1.0909E6	1.72153E6
6495.94	2.62893E6	1.09513E6	1.73009E6
6498.01	2.62536E6	1.09992E6	1.73696E6
6500.01	2.62248E6	1.10459E6	1.74845E6
6502.04	2.61859E6	1.10867E6	1.75419E6
6504	2.61486E6	1.11372E6	1.76315E6
6506.08	2.61162E6	1.1181E6	1.76943E6
6507.96	2.6086E6	1.12213E6	1.78149E6
6510.04	2.60456E6	1.12672E6	1.78834E6
6512	2.60097E6	1.13067E6	1.79342E6
6514	2.59777E6	1.13509E6	1.80358E6
6516.01	2.59422E6	1.13959E6	1.81227E6
6517.97	2.59114E6	1.14462E6	1.81639E6
6519.98	2.58679E6	1.14752E6	1.82046E6
6522.03	2.58312E6	1.1522E6	1.82627E6
6524.04	2.57956E6	1.15625E6	1.8277E6
6525.93	2.57637E6	1.15976E6	1.82929E6
6527.94	2.57343E6	1.16465E6	1.83014E6
6530.04	2.57022E6	1.16814E6	1.82639E6
6530.41	2.56943E6	1.16925E6	1.82227E6
6530.57	2.5689E6	1.16934E6	1.8212E6
6530.9	2.56816E6	1.16921E6	1.81867E6
6531.23	2.56696E6	1.17003E6	1.81833E6
6531.48	2.56561E6	1.16994E6	1.81533E6
6531.8	2.56475E6	1.17002E6	1.81228E6
6532.05	2.56393E6	1.16978E6	1.81305E6
6532.42	2.56298E6	1.17048E6	1.80714E6
6532.67	2.5622E6	1.17049E6	1.80453E6
6533.04	2.55976E6	1.16995E6	1.80342E6
6533.33	2.55867E6	1.17047E6	1.79743E6
